year,month,regions,districts,rainfall,NDVI,price_water,price_sorghum,price_maize,price_red_rice,price_local_goat,wage_labor,goat_to_cereals,wage_to_cereals,CMB,GAM,measles,AWD_cholera,AWD_cholera_death,malaria,security_inc,fatal,Displacement (arrivals),Displacement (departures),displacement_arrival_low,displacement_arrival_high,displacement_dep_low,displacement_dep_high,net_incoming_low,net_incoming_high,net_incoming_mean
2010,1,Awdal,Baki,0,0.13,NaN,4082.875,3550,5191.666666666667,172250,35208.333333333336,34.142857142857146,6.666666666666667,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,1,Awdal,Borama,0,0.15,NaN,3663,4500,4675,170000,32250,36,7,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,1,Awdal,Lughaye,0,0.09,NaN,4000,3550,4800,120000,35208.333333333336,30,6.666666666666667,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,1,Awdal,Zeylac,0,0.09,NaN,6000,4000,5200,172250,40000,34.142857142857146,8,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,2,Awdal,Baki,132,0.14,NaN,4082.875,3550,5191.666666666667,172250,35208.333333333336,34.142857142857146,6.666666666666667,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,2,Awdal,Borama,225,0.15,NaN,2500,3000,5000,195000,29000,39,6,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,2,Awdal,Lughaye,92.32,0.1,NaN,5000,4000,5000,155000,35208.333333333336,31,6.666666666666667,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,2,Awdal,Zeylac,120,0.1,NaN,4082.875,3550,5600,172250,40000,34.142857142857146,7,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,3,Awdal,Baki,8.3,0.19,NaN,4082.875,3550,5191.666666666667,172250,35208.333333333336,34.142857142857146,6.666666666666667,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,3,Awdal,Borama,39.91,0.2,NaN,2500,3000,5000,200000,30000,40,6,835363,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,3,Awdal,Lughaye,1.65,0.14,NaN,5000,3550,5050,145750,35208.333333333336,29,6.666666666666667,845931.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,3,Awdal,Zeylac,4.32,0.13,NaN,4000,2800,6400,220000,40000,34,6,856500,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,4,Awdal,Baki,200,0.2,NaN,3544.4444444444443,3583.3333333333335,4950,241111.11111111112,37500,50.77777777777778,7.333333333333333,802410.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,4,Awdal,Borama,212,0.25,NaN,1850,3000,4500,222500,35000,49,8,788063,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,4,Awdal,Lughaye,59.18,0.13,NaN,4250,5000,4750,135000,37500,32,7.333333333333333,802410.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,4,Awdal,Zeylac,30.42,0.13,NaN,4000,3583.3333333333335,5600,240000,40000,43,7,930600,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,5,Awdal,Baki,49.68,0.18,NaN,3544.4444444444443,3583.3333333333335,4950,241111.11111111112,37500,50.77777777777778,7.333333333333333,802410.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,5,Awdal,Borama,11.98,0.25,NaN,2000,2500,4500,350000,35000,78,8,819500,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,5,Awdal,Lughaye,38.42,0.12,NaN,4000,5000,4000,155000,37500,39,7.333333333333333,802410.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,5,Awdal,Zeylac,11.5,0.12,NaN,4800,3583.3333333333335,6400,240000,40000,38,6,782000,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,6,Awdal,Baki,8.59,0.14,NaN,3544.4444444444443,3583.3333333333335,4950,241111.11111111112,37500,50.77777777777778,7.333333333333333,802410.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,6,Awdal,Borama,13.32,0.2,NaN,2500,2000,4200,395000,35000,94,8,810250,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,6,Awdal,Lughaye,0.2,0.1,NaN,4500,4000,5000,172500,37500,38,7.333333333333333,802410.5,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,6,Awdal,Zeylac,4.97,0.1,NaN,4000,3583.3333333333335,5600,260000,40000,46,7,684050,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,7,Awdal,Baki,36.38,0.13,NaN,3357.1428571428573,2833.3333333333335,4861.111111111111,218472.22222222222,36428.57142857143,46.888888888888886,7.714285714285714,821450,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,7,Awdal,Borama,68.94,0.2,NaN,2500,2500,4500,350000,35000,78,8,820750,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,7,Awdal,Lughaye,10.88,0.09,NaN,4500,2833.3333333333335,4650,152500,30000,34,7,821450,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,7,Awdal,Zeylac,16.51,0.1,NaN,3357.1428571428573,2833.3333333333335,5200,250000,40000,48,8,781800,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,8,Awdal,Baki,212,0.15,NaN,3357.1428571428573,2833.3333333333335,4861.111111111111,218472.22222222222,36428.57142857143,46.888888888888886,7.714285714285714,821450,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,8,Awdal,Borama,487,0.23,NaN,2500,3000,4000,235000,35000,59,9,817000,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,8,Awdal,Lughaye,150,0.09,NaN,3500,2833.3333333333335,4500,120000,36428.57142857143,34,7.714285714285714,821450,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,8,Awdal,Zeylac,254,0.1,NaN,3357.1428571428573,2833.3333333333335,5200,260000,40000,50,8,812500,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,9,Awdal,Baki,35.02,0.17,NaN,3357.1428571428573,2833.3333333333335,4861.111111111111,218472.22222222222,36428.57142857143,46.888888888888886,7.714285714285714,821450,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
2010,9,Awdal,Borama,64.7,0.26,NaN,2000,3000,4700,251250,35000,53,7,876750,NaN,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0
